Name,CAS no.,Mol. wt.,C1,C2,C3,C4,C5,"Tmin, K","Tmax, K"
Acetaldehyde,75-07-0,44.053,115100,-433,1.425,,,150.15,294
Acetamide,60-35-5,59.067,102300,128.7,,,,354.15,571
Acetic acid,64-19-7,60.052,139640,-320.8,0.8985,,,289.81,391.05
Acetic anhydride,108-24-7,102.089,36600,511,,,,250,350
Acetone,67-64-1,58.079,135600,-177,0.2837,0.000689,,178.45,329.44
Acetonitrile,64047,41.052,97582,-122.2,0.34085,,,229.32,354.75
Acetylene,74-86-2,26.037,-122020,3082.7,-15.895,0.027732,,192.4,250
Acrolein,107-02-8,56.063,103090,-247.8,1.0343,,,253,379.5
Acrylic acid,65660,72.063,55300,300,,,,286.15,375
Acrylonitrile,107-13-1,53.063,109900,-109.75,0.35441,,,189.63,400
Air,132259-10-0,28.96,-214460,9185.1,-106.12,0.41616,,75,115
Anisole,100-66-3,108.138,150940,93.455,0.23602,,,298.15,484.2
Argon,7440-37-1,39.948,134390,-1989.4,11.043,,,83.78,135
Benzamide,55-21-0,121.137,161440,260.66,,,,403,563.15
Benzene,71-43-2,78.112,129440,-169.5,0.64781,,,278.68,353.24
Benzene,71-43-2,78.112,162940,-344.94,0.85562,,,278.68,500
Benzenethiol,108-98-5,110.177,119780,180.34,,,,258.27,442.29
Benzoic acid,65-85-0,122.121,-5480,647.12,,,,395.45,450
Benzonitrile,100-47-0,103.121,93383,242.61,,,,260.4,464.15
Benzyl ethyl ether,539-30-0,136.191,87500,480,,,,275.65,458.15
Benzyl mercaptan,100-53-8,124.203,100320,346.89,,,,243.95,472.03
Biphenyl,92-52-4,154.208,121770,429.3,,,,342.2,533.37
Bromine,7726-95-6,159.808,179400,-667.11,1.0701,,,265.9,331.9
Bromobenzene,108-86-1,157.008,121600,-9.45,0.358,,,293.15,495.08
"1,2-Butadiene",590-19-2,54.09,135150,-311.14,0.97007,-0.0001523,,136.95,290
"1,3-Butadiene",106-99-0,54.09,128860,-323.1,1.015,3.2E-05,,165,350
Butane,106-97-8,58.122,191030,-1675,12.5,-0.03874,4.6121E-05,134.86,400
1-Butene,106-98-9,56.106,182050,-1611,11.963,-0.037454,4.5027E-05,87.8,380
cis-2-Butene,590-18-1,56.106,126680,-65.47,-0.64,0.002912,,134.26,350
trans-2-Butene,624-64-6,56.106,112760,-104.7,0.5214,,,167.62,274.03
Butyl acetate,123-86-4,116.158,111850,384.52,,,,298.15,399.26
sec-Butyl mercaptan,513-53-1,90.187,197890,-491.54,1.7219,-0.0012499,,133.02,370
1-Butyne,107-00-6,54.09,136340,-300.4,1.0216,,,147.43,298.15
Butyraldehyde,123-72-8,72.106,65682,1329.1,-7.1579,0.012755,,176.75,300
Butyric acid,107-92-6,88.105,237700,-746.4,1.829,,,267.95,436.42
Carbon disulfide,75-15-0,76.141,85600,-122,0.5605,-0.001452,2.008E-06,161.11,552
Carbon tetrachloride,56-23-5,153.823,-752700,8966.1,-30.394,0.034455,,250.33,388.71
Carbon tetrafluoride,75-73-0,88.004,104600,-500.6,2.2851,,,89.56,145.1
Chlorine,7782-50-5,70.906,63936,46.35,-0.1623,,,172.12,239.12
Chlorobenzene,108-90-7,112.557,-1307500,15338,-53.974,0.063483,,227.95,360
Chloroethane,75-00-3,64.514,127900,-345.15,0.915,,,134.8,340
Chloroform,67-66-3,119.378,124850,-166.34,0.43209,,,233.15,366.48
m-Cresol,108-39-4,108.138,-246700,3256.8,-7.4202,0.0060467,,285.39,400
o-Cresol,95-48-7,108.138,-185150,3148,-8.0367,0.007254,,304.2,400
p-Cresol,106-44-5,108.138,259980,-1112.3,4.9427,-0.0054367,,307.93,400
Cumene,98-82-8,120.192,61723,494.81,,,,177.14,425.56
Cyanogen,460-19-5,52.035,65516,144.7,0.063229,,,200.08,300.08
Cyclobutane,287-23-0,56.106,101920,-215.81,0.8103,,,190,298.15
Cyclohexane,110-82-7,84.159,-220600,3118.3,-9.4216,0.010687,,279.69,400
Cyclohexanol,108-93-0,100.159,-40000,853,,,,296.6,434
Cyclohexanone,108-94-1,98.143,6110.4,600.94,,,,290,489.75
Cyclopentene,142-29-0,68.117,125380,-349.7,1.143,,,138.13,317.38
Cyclopropane,75-19-4,42.08,89952,-196.63,0.65237,,,150,298.15
Cyclohexyl mercaptan,1569-69-3,116.224,177560,-179.12,0.76723,,,189.64,431.95
Decanal,112-31-2,156.265,150460,586.63,,,,267.15,488.15
Decane,124-18-5,142.282,278620,-197.91,1.0737,,,243.51,460
Decyl mercaptan,143-10-2,174.347,314570,-160.93,0.95561,,,247.56,512.35
1-Decyne,764-93-2,138.25,276900,-371.23,1.5774,,,229.15,447.15
"1,2-Dibromoethane",106-93-4,187.861,200560,-491.44,0.9187,,,282.85,410
Dibromomethane,74-95-3,173.835,202580,-726.3,1.3377,,,240,370.1
Dibutyl ether,142-96-1,130.228,270720,-259.83,0.95427,,,175.3,450
m-Dichlorobenzene,541-73-1,147.002,114880,187.25,,,,248.39,400
o-Dichlorobenzene,95-50-1,147.002,93093,183.97,0.2314,,,273.15,528.75
p-Dichlorobenzene,106-46-7,147.002,133950,-24.84,0.48191,,,326.14,513.56
"1,1-Dichloroethane",75-34-3,98.959,126340,-94.63,0.32,,,176.19,330.45
"1,2-Dichloroethane",107-06-2,98.959,179170,-444.74,0.93009,,,237.49,356.59
Dichloromethane,64164,84.933,98968,-62.941,0.23265,,,180,320
"1,1-Dichloropropane",78-99-9,112.986,144560,-53.605,0.30617,,,180,361.25
"1,2-Dichloropropane",78-87-5,112.986,111560,149.44,,,,275,369.52
Diethanol amine,111-42-2,105.136,184200,286,,,,301.15,541.54
Diethyl sulfide,352-93-2,90.187,238520,-1038.4,4.0587,-0.0044691,,181.95,322.08
"1,2-Difluoroethane",624-72-6,66.05,82577,109.85,,,,215,283.65
Difluoromethane,64197,52.023,263980,-1791.1,4.3666,,,200,250
Di-isopropyl amine,108-18-9,101.19,98434,429.04,,,,275,357.05
Di-isopropyl ether,108-20-3,102.175,163000,-4.5,0.62,,,187.65,341.45
Di-isopropyl ketone,565-80-0,114.185,179270,28.37,0.5375,,,204.81,410
"1,1-Dimethoxyethane",534-15-6,90.121,187790,-313.41,1.1023,,,159.95,337.45
"1,2-Dimethoxypropane",7778-85-0,104.148,199930,-191.5,0.87664,,,226.1,366.15
"2,3-Dimethylbutane",79-29-8,86.175,129450,18.5,0.608,,,145.19,331.13
"1,1-Dimethylcyclohexane",590-66-9,112.213,134500,8.765,0.81151,,,239.66,392.7
"cis-1,2-Dimethylcyclohexane",112134,112.213,150130,-62.38,0.8851,,,223.16,402.94
"trans-1,2-Dimethylcyclohexane",6876-23-9,112.213,155560,-145.26,1.0932,,,184.99,396.58
Dimethyl disulfide,624-92-0,94.199,171580,-256.67,0.5727,,,188.44,360
Dimethyl ether,115-10-6,46.068,110100,-157.47,0.51853,,,131.65,250
"N,N-Dimethyl formamide",61699,73.094,147900,-106,0.384,,,273.82,466.44
"2,3-Dimethylpentane",565-59-3,100.202,146420,59.2,0.604,,,90,380
Dimethyl phthalate,131-11-3,194.184,206560,325.75,,,,274.16,360
Dimethylsilane,1111-74-6,60.17,131810,,,,,298.15,298.15
Dimethyl sulfide,75-18-3,62.134,146950,-380.06,1.2035,-0.00084787,,174.88,310.48
Dimethyl sulfoxide,67-68-5,78.133,240300,-595,1.013,,,291.67,422.15
Dimethyl terephthalate,120-61-6,194.184,190020,431.04,,,,423.4,466.35
"1,4-Dioxane",123-91-1,88.105,956860,-5559.9,9.6124,,,284.95,374.47
Diphenyl ether,101-84-8,170.207,134160,447.67,,,,300.03,570
Dipropyl amine,142-84-7,101.19,49120,562.24,,,,277.9,407.9
Dodecane,112-40-3,170.335,508210,-1368.7,3.1015,,,263.57,330
Ethanol,64-17-5,46.068,102640,-139.63,-0.030341,0.0020386,,159.05,390
Ethyl acetate,141-78-6,88.105,226230,-624.8,1.472,,,189.6,350.21
Ethyl amine,64016,45.084,121700,38.993,,,,192.15,289.73
Ethylbenzene,100-41-4,106.165,154040,-142.29,0.80539,,,178.2,409.35
Ethyl benzoate,93-89-0,150.175,124500,370.6,,,,238.45,486.55
2-Ethyl butanoic acid,68916,116.158,56359,603.02,,,,258.15,466.95
Ethyl butyrate,105-54-4,116.158,82434,422.45,0.20992,,,285.5,428.25
Ethylene,74-85-1,28.053,247390,-4428,40.936,-0.1697,0.00026816,104,252.7
Ethylenediamine,107-15-3,60.098,184440,-150.2,0.37044,,,284.29,390.41
Ethylene glycol,107-21-1,62.068,35540,436.78,-0.18486,,,260.15,493.15
Ethyl formate,109-94-4,74.079,80000,223.6,,,,254.2,374.2
2-Ethyl hexanoic acid,149-57-5,144.211,207670,-17.907,1.0493,,,235,510.1
Ethylhexyl ether,5756-43-4,130.228,146040,458.22,,,,298.15,417.15
Ethylisopropyl ether,625-54-7,88.148,106250,292.15,,,,298.15,326.15
Ethylisopropyl ketone,565-69-5,100.159,229250,-404.54,1.1382,,,204.15,386.55
Ethyl mercaptan,64132,62.134,134670,-234.39,0.59656,,,125.26,315.25
Fluorine,7782-41-4,37.997,1724400,-59924,537.85,,,53.48,56
Fluorobenzene,462-06-6,96.102,-991200,11734,-40.669,0.047333,,239.99,319.99
Fluoroethane,353-36-6,48.06,85663,-118.56,0.55459,,,140,240
Fluoromethane,593-53-3,34.033,74746,-132.32,0.53772,,,140,220
Formaldehyde,50-00-0,30.026,61900,28.3,,,,204,234
Formamide,64260,45.041,63400,150.6,,,,292,493
Formic acid,64-18-6,46.026,78060,71.54,,,,281.45,380
Helium-4,7440-59-7,4.003,410430,-464890,135100,,,1.8,2.1
Heptadecane,629-78-7,240.468,376970,347.82,0.57895,,,295.13,575.3
2-Heptanol,543-49-7,116.201,283127,-1037.63,3.44064,,,230,432.9
3-Heptanone,106-35-4,114.185,270730,-399.89,1.0601,,,234.15,480
Heptyl mercaptan,1639-09-4,132.267,236870,-158.01,0.78982,,,229.92,460
1-Heptyne,628-71-7,96.17,46798,761.13,-0.62882,,,200,372.93
Hexadecane,544-76-3,226.441,370350,231.47,0.68632,,,291.31,560.01
Hexanal,66-25-1,100.159,117700,329.52,,,,217.15,401.45
Hexane,110-54-3,86.175,172120,-183.78,0.88734,,,177.83,460
2-Hexanol,626-93-7,102.175,267628,-1033.06,3.35185,,,223,585.3
2-Hexanone,591-78-6,100.159,208250,-107.47,0.2062,0.00070293,,217.35,460
3-Hexanone,589-38-8,100.159,235960,-345.94,0.94278,,,217.5,460
1-Hexene,592-41-6,84.159,164640,-200.37,0.8784,,,133.39,336.63
1-Hexyne,693-02-7,82.144,93000,326,,,,200,344.48
2-Hexyne,764-35-2,82.144,94860,254.15,,,,300,357.67
Hydrazine,302-01-2,32.045,79815,50.929,0.043379,,,274.69,653.15
Hydrogen bromide,10035-10-6,80.912,57720,9.9,,,,185.15,206.45
Hydrogen chloride,7647-01-0,36.461,47300,90,,,,165,185
Hydrogen cyanide,74-90-8,27.025,95398,-197.52,0.3883,,,259.83,298.85
Isobutyric acid,79-31-2,88.105,127540,-65.35,0.82867,,,270,427.65
Isopropyl amine,75-31-0,59.11,-32469,1977.1,-7.0145,0.0086913,,177.95,320
Malonic acid,141-82-2,104.061,157850,-41.619,0.42817,,,407.95,603.75
Methacrylic acid,79-41-4,86.089,146290,-58.59,0.3582,,,288.15,434.15
Methanol,67-56-1,32.042,105800,-362.23,0.9379,,,175.47,400
N-Methyl acetamide,79-16-3,73.094,62600,243.4,,,,359,538.5
Methyl acetate,79-20-9,74.079,61260,270.9,,,,253.4,373.4
Methyl acetylene,74-99-7,40.064,79791,89.49,,,,200,249.94
Methyl acrylate,96-33-3,86.089,275500,-1147,2.568,,,196.32,353.35
Methyl amine,74-89-5,31.057,92520,37.45,,,,179.69,266.82
Methyl benzoate,93-58-3,136.148,125630,279.75,,,,260.75,472.65
"3-Methyl-1,2-butadiene",598-25-4,68.117,135370,-133.34,0.63868,,,159.53,314.56
2-Methylbutane,78-78-4,72.149,108300,146,-0.292,0.00151,,113.25,310
2-Methylbutanoic acid,116-53-0,102.132,74200,417.4,,,,321.5,481.5
3-Methyl-1-butanol,123-51-3,88.148,247870,-1145,3.4223,,,155.95,404.15
2-Methyl-1-butene,563-46-2,70.133,149510,-247.63,0.91849,,,135.58,304.31
2-Methyl-2-butene,513-35-9,70.133,151600,-266.72,0.90847,,,139.39,311.71
2-Methyl-1-butene-3-yne,78-80-8,66.101,81919,181.01,,,,298.15,305.4
Methylbutyl ether,628-28-4,88.148,177850,-171.57,0.74379,,,157.48,343.31
Methylbutyl sulfide,628-29-5,104.214,198390,-220.35,0.76096,,,175.3,510
3-Methyl-1-butyne,598-23-2,68.117,105200,191.1,,,,200,299.49
Methyl butyrate,623-42-7,102.132,102930,129.1,0.62516,,,277.25,415.87
Methylchlorosilane,993-00-0,80.589,47726,338.4,,,,250,325
Methylcyclohexane,108-87-2,98.186,131340,-63.1,0.8125,,,146.58,320
1-Methylcyclohexanol,590-67-0,114.185,50578,508.59,,,,300,441.15
cis-2-Methylcyclohexanol,7443-70-1,114.185,118600,447.07,,,,300,438.15
1-Methylcyclopentene,693-89-0,82.144,53271,327.92,,,,200,348.64
3-Methylcyclopentene,1120-62-3,82.144,46457,346.93,,,,200,338.05
Methylethyl ketone,78-93-3,72.106,132300,200.87,-0.9597,0.0019533,,186.48,373.15
Methylethyl sulfide,624-89-5,76.161,161240,-288.61,0.78179,,,167.23,339.8
Methyl formate,107-31-3,60.052,130200,-396,1.21,,,174.15,304.9
Methylisobutyl ether,625-44-5,88.148,92919,324.43,,,,298.15,350
Methylisobutyl ketone,108-10-1,100.159,183650,-79.862,0.60769,,,189.15,389.15
Methyl Isocyanate,624-83-9,57.051,149770,-529.82,1.3499,,,256.15,366
Methylisopropyl ether,598-53-8,74.122,143440,-154.07,0.7255,,,127.93,310
Methyl mercaptan,74-93-1,48.107,115300,-263.23,0.60412,,,150.18,298.15
Methyl methacrylate,80-62-6,100.116,255100,-938.4,2.413,,,224.95,373.45
2-Methyloctanoic acid,3004-93-1,158.238,226650,15.421,1.0578,,,240,518.15
2-Methylpentane,107-83-5,86.175,142220,-47.83,0.739,,,119.55,333.41
2-Methyl-2-propanol,75-65-0,74.122,-925460,7894.9,-17.661,0.013617,,298.96,460
2-Methyl propene,115-11-7,56.106,87680,217.1,-0.9153,0.002266,,132.81,343.15
Methyl propionate,554-12-1,88.105,71140,335.5,,,,300,390
Methylpropyl ether,557-17-5,74.122,144110,-102.09,0.58113,,,133.97,312.2
Methylpropyl sulfide,3877-15-4,90.187,179850,-264.1,0.79202,,,160.17,368.69
Methylsilane,992-94-9,46.144,113470,,,,,298.15,298.15
Methyl vinyl ether,107-25-5,58.079,73600,184.7,,,,151.15,278.65
Naphthalene,91-20-3,128.171,29800,527.5,,,,353.43,491.14
Neon,2023453,20.18,1034100,-138770,7154,-162.55,1.3841,24.56,40
Nitroethane,79-24-3,75.067,187740,-497.6,1.0691,,,183.63,387.22
Nitrogen,7727-37-9,28.013,281970,-12281,248,-2.2182,0.0074902,63.15,112
Nitrogen trifluoride,7783-54-2,71.002,101400,-682.11,3.8912,,,117,175.5
Nitromethane,75-52-5,61.04,116270,-135.3,0.345,,,244.6,473.15
Nonadecane,629-92-5,268.521,342570,762.08,0.20481,,,305.04,603.05
Nonanal,124-19-6,142.239,136820,531.29,,,,255.15,468.15
Nonane,111-84-2,128.255,383080,-1139.8,2.7101,,,219.66,325
Nonanoic acid,112-05-0,158.238,224336,49.726,0.9813,-0.85381,,285.55,528.75
1-Nonanol,143-08-8,144.255,10483000,-115220,476.87,,0.00056246,310,460
2-Nonanol,628-99-9,144.255,329641,-1046.78,3.61823,,,238.15,649.5
1-Nonene,124-11-8,126.239,254490,-298.06,1.1707,,,191.91,420.02
Nonyl mercaptan,1455-21-6,160.32,265350,-46.22,0.79154,,,253.05,492.95
1-Nonyne,567104,124.223,253580,-366.3,1.4881,,,223.15,423.85
Octadecane,593-45-3,254.494,399430,374.64,0.58156,,,301.31,589.86
Octanal,124-13-0,128.212,130650,463.61,,,,246,447.15
Octane,111-65-9,114.229,224830,-186.63,0.95891,,,216.38,460
Octanoic acid,124-07-2,144.211,205260,44.392,0.8956,,,289.65,512.85
1-Octanol,111-87-5,130.228,571370,-4849,19.725,-0.021532,,250,467.1
2-Octanol,123-96-6,130.228,319198,-1042.21,3.52943,,,241.55,452.9
2-Octanone,111-13-7,128.212,300400,-426.2,1.1172,,,252.86,500
3-Octanone,106-68-3,128.212,289980,-417.27,1.2218,,,255.55,440.65
1-Octene,111-66-0,112.213,509420,-4279.1,21.477,-0.044462,3.5028E-05,171.45,394.41
Octyl mercaptan,111-88-6,146.294,240040,-33.198,0.67889,,,240,472.19
1-Octyne,629-05-0,110.197,42642,886.67,-0.69315,,,200,399.35
Oxalic acid,144-62-7,90.035,175510,-381.36,0.64623,,,462.65,603
Oxygen,7782-44-7,31.999,175430,-6152.3,113.92,-0.92382,0.0027963,54.36,142
Ozone,10028-15-6,47.998,60046,281.16,,,,90,150
Pentadecane,629-62-9,212.415,346910,219.54,0.65632,,,283.07,543.84
Pentanal,110-62-3,86.132,112050,257.78,,,,200,376.15
Pentane,109-66-0,72.149,159080,-270.5,0.99537,,,143.42,390
Pentanoic acid,109-52-4,102.132,145050,28.344,0.6372,,,239.15,458.95
1-Pentanol,71-41-0,88.148,201200,-651.3,2.275,,,200.14,389.15
2-Pentanol,6032-29-7,88.148,251596,-1028.49,3.26306,,,200,561
2-Pentanone,107-87-9,86.132,194590,-263.86,0.76808,,,196.29,375.46
3-Pentanone,96-22-0,86.132,193020,-176.43,0.5669,,,234.18,375.14
1-Pentene,109-67-1,70.133,156100,-456.94,2.255,-0.003163,2.38E-06,108.02,350
2-Pentyl mercaptan,2084-19-7,104.214,188200,-140.84,0.63581,,,160.75,385.15
Pentyl mercaptan,110-66-7,104.214,213760,-324.4,0.9472,,,197.45,399.79
1-Pentyne,627-19-0,68.117,86200,256.6,,,,200,313.33
2-Pentyne,627-21-4,68.117,68671,246.66,,,,200,329.27
Phenanthrene,67580,178.229,103370,527.03,,,,372.39,500
Phenol,108-95-2,94.111,101720,317.61,,,,314.06,425
Phenyl isocyanate,103-71-9,119.121,60834,215.89,0.29552,,,243.15,489.75
Phthalic anhydride,85-44-9,148.116,145400,252.4,,,,404.15,557.65
Propadiene,463-49-0,40.064,66230,98.275,,,,200,238.65
1-Propanol,71-23-8,60.095,158760,-635,1.969,,,146.95,400
2-Propanol,67-63-0,60.095,471710,-4172.1,14.745,-0.0144,,185.26,355.3
Water,7732-18-5,18.015,276370,-2090.1,8.125,-0.014116,9.37E-06,273.16,533.15
p-Xylene,106-42-3,106.165,-35500,1287.2,-2.599,0.002426,,286.41,600
m-Xylene,108-38-3,106.165,133860,7.8754,0.52265,,,217,540.15
o-Xylene,95-47-6,106.165,36500,1017.5,-2.63,0.00302,,247.98,417.58
Toluene,108-88-3,92.138,140140,-152.3,0.695,,,178.18,500
